type,entryAt,entryYmd,amount,categoryId,accountId,memberId,memo,fixedItemId,autoFlag,starFlag,jsonProps,uuid,bookId,sortKey,deleteFlag,syncAt,createdAt,createdBy,updatedAt,updatedBy
0,2018-05-29,20180529,45,df78da22-2e6c-4272-9204-24476d8613cd,f79c5f68-e2a8-45af-a274-8795d862f4ff,0530b2b7-a321-493c-a096-93f1d0350973,,,0,0,,499ce91b-6b49-11eb-8178-04d9f57d0e18,8a2a6d8a-1b59-4782-ba78-84912b0cfff2,1612842393352,0,,2021-02-09 03:46:31.361,,,
0,2018-05-26,20180526,150,a2718638-c17e-4674-8f7e-42fda6a518ee,f79c5f68-e2a8-45af-a274-8795d862f4ff,0530b2b7-a321-493c-a096-93f1d0350973,搭伙,,0,0,,499d1024-6b49-11eb-bfb8-04d9f57d0e18,8a2a6d8a-1b59-4782-ba78-84912b0cfff2,1612842393353,0,,2021-02-09 03:46:31.361,,,
0,2018-05-26,20180526,165,ba816797-0dc5-4a6e-88d9-bc131d793aeb,f79c5f68-e2a8-45af-a274-8795d862f4ff,0530b2b7-a321-493c-a096-93f1d0350973,搭伙,,0,0,,499d1025-6b49-11eb-b29c-04d9f57d0e18,8a2a6d8a-1b59-4782-ba78-84912b0cfff2,1612842393354,0,,2021-02-09 03:46:31.361,,,
0,2018-05-26,20180526,60,df78da22-2e6c-4272-9204-24476d8613cd,f79c5f68-e2a8-45af-a274-8795d862f4ff,0530b2b7-a321-493c-a096-93f1d0350973,搭伙,,0,0,,499d1026-6b49-11eb-9b98-04d9f57d0e18,8a2a6d8a-1b59-4782-ba78-84912b0cfff2,1612842393355,0,,2021-02-09 03:46:31.361,,,
0,2018-05-27,20180527,63,c984ab85-ead0-433c-9c44-9ebd17d2c67a,f79c5f68-e2a8-45af-a274-8795d862f4ff,0530b2b7-a321-493c-a096-93f1d0350973,,,0,0,,499d1027-6b49-11eb-8d7c-04d9f57d0e18,8a2a6d8a-1b59-4782-ba78-84912b0cfff2,1612842393356,0,,2021-02-09 03:46:31.361,,,
0,2018-05-27,20180527,333,2fd22268-e62e-4e4b-927f-a8daeeea13e2,f79c5f68-e2a8-45af-a274-8795d862f4ff,0530b2b7-a321-493c-a096-93f1d0350973,衝浪,,0,0,,499d1028-6b49-11eb-a4d4-04d9f57d0e18,8a2a6d8a-1b59-4782-ba78-84912b0cfff2,1612842393357,0,,2021-02-09 03:46:31.361,,,
0,2018-05-27,20180527,160,df78da22-2e6c-4272-9204-24476d8613cd,f79c5f68-e2a8-45af-a274-8795d862f4ff,0530b2b7-a321-493c-a096-93f1d0350973,,,0,0,,499d1029-6b49-11eb-ad07-04d9f57d0e18,8a2a6d8a-1b59-4782-ba78-84912b0cfff2,1612842393358,0,,2021-02-09 03:46:31.361,,,
0,2018-05-26,20180526,75,c984ab85-ead0-433c-9c44-9ebd17d2c67a,f79c5f68-e2a8-45af-a274-8795d862f4ff,0530b2b7-a321-493c-a096-93f1d0350973,胡椒餅+鹽水雞+綠豆沙牛奶(半,,0,0,,499d102a-6b49-11eb-97a3-04d9f57d0e18,8a2a6d8a-1b59-4782-ba78-84912b0cfff2,1612842393359,0,,2021-02-09 03:46:31.361,,,
0,2018-05-26,20180526,290,60200f80-34ce-41e6-b9fc-e8d7fc0ba068,f79c5f68-e2a8-45af-a274-8795d862f4ff,0530b2b7-a321-493c-a096-93f1d0350973,咖啡店2.5小時(半 享住 稍貴 床很彈,,0,0,,499d102b-6b49-11eb-9b8e-04d9f57d0e18,8a2a6d8a-1b59-4782-ba78-84912b0cfff2,1612842393360,0,,2021-02-09 03:46:31.361,,,
0,2018-05-26,20180526,210,ba816797-0dc5-4a6e-88d9-bc131d793aeb,f79c5f68-e2a8-45af-a274-8795d862f4ff,0530b2b7-a321-493c-a096-93f1d0350973,新派壽司(半,,0,0,,499d102c-6b49-11eb-81d5-04d9f57d0e18,8a2a6d8a-1b59-4782-ba78-84912b0cfff2,1612842393361,0,,2021-02-09 03:46:31.361,,,
